1596720342,none,CapelaClint, HOU
332627423,none,DeMarreCarroll1, BRK
1358510274,none,GorguiDieng, MIN
69500255,none,TrevorAriza, PHO
98576365,none,EBled2, MIL
31451582,none,rickyrubio9, UTA
25015718,none,tobias31, LAC
349719397,none,TheRealJRSmith, CLE
3033470114,none,IamJJ16, MIA
186726223,none,Goodknight11, PHO
48028402,none,rolopez42, CHI
20231153,none,JLSOfficial, CHO
73058561,none,TajGibson22, MIN
54780126,none,yungsmoove21, IND
226257592,none,KennethFaried35, BRK
17980124,none,tysonchandler, PHO
95649322,none,MGortat, LAC
259030794,none,CodyZeller, CHO
299242570,none,TheofficialEG10, HOU
38026892,none,Joeingles7, UTA
58667088,none,Khris22m, MIL
195450194,none,MKG14, CHO
190059955,none,masonplumlee, DEN
180188862,none,wilsonchandler, PHI
37922674,none,solohill, NOP
2423100775,none,NikolaVucevic, ORL
156521166,none,AustinRivers25, WAS
170424259,none,JLin7, ATL
72362869,none,JordanClarksons, CLE
473227811,none,threekola, NOP
412688692,none,CourtneyLee5, NYK
487962301,none,bosnianbeast27, POR
529603839,none,WillTheThrillB5, DEN
1096007496,none,CaldwellPope, LAL
419116136,none,TyrekeEvans, IND
270689028,none,KembaWalker, CHO
205413225,none,MacBo50, SAC
543954514,none,smart_MS3, BOS
48176112,none,Patty_Mills, SAS
134653235,none,dionwaiters3, MIA
135323628,none,AlecBurks10, UTA
393222035,none,AsikOmer, CHI
281405595,none,KellyOlynyk, MIA
257699456,none,imanshumpert, SAC
64307053,none,moe_harkless, POR
76205861,none,MeyersLeonard11, POR
198932169,none,Johnhenson31, MIL
231335961,none,TFlight31, ORL
1242198056,none,44Bojan, IND
233810051,none,Holla_At_Rob33, PHI
37367041,none,RudyGay, SAS
38783856,none,JonLeuer30, DET
165152266,none,FlyDre21, OKC
269552973,none,DGreen_14, TOR
223712642,none,Darren_Collison, IND
2445047678,none,DwightPowell33, DAL
188621689,none,matthewdelly, MIL
53401921,none,daanteee, UTA
54438929,none,JaredDudley619, BRK
155674676,none,npowell2404, TOR
61288678,none,J_Rich1, MIA
339241519,none,FredVanVleet, TOR
2385272859,none,LeaderOfHorde, SAC
150846769,none,RajonRondo, LAL
270072188,none,ETwaun55, NOP
220255322,none,kostakoufos, SAC
272562079,none,JeramiGrant, OKC
86651903,none,KyleAnderson5, MEM
180990505,none,J30_RANDLE, NOP
167821244,none,Keefmorris, WAS
843948212,none,jerrydbayless, PHI
1496917872,none,MarkelleF, PHI
635570729,none,masfresco, TOR
6162282,none,joeharris, BRK
1601532284,none,ShaunLivingston, GSW
3834430036,none,DeandreAyton, PHO
62203990,none,TeamLou23, LAC
41861751,none,GTemp17, MEM
279697145,none,Cory_Joe, IND
171774400,none,Jmyke1, MEM
73495696,none,KarlTowns, MIN
47635525,none,KyleKorver, CLE
303465692,none,jlamb, CHO
2232325386,none,DarrellArthur00, PHO
909102066,none,ZO2_, LAL
85617701,none,dougmcdermott, IND
125408809,none,CJC9BOSS, UTA
2797019768,none,MB3FIVE, SAC
807773480821395456,none,MrLance42, NYK
348288809,none,Dloading, BRK
263465785,none,LangGalloway10, DET
216354223,none,DBertans_42, SAS
76809678,none,farouq1, POR
448562247,none,jaytatum0, BOS
460116210,none,luka7doncic, DAL
3695411717,none,NemanjaBjelica, SAC
972155558907252736,none,mariohezonja, NYK
1063034450,none,BenSimmons25, PHI
4339503689,none,MilosTeodosic4, LAC
249001367,none,d_dedmon3, ATL
372439064,none,WayneElli22, MIA
88890284,none,marcobelinelli, SAS
14717369,none,wesleyjnews, LAC
2412019869,none,j_josh11, PHO
133726414,none,MONSTATREZZ, LAC
284841825,none,ThaRealJsimms, ORL
925030084276301830,none,IshSmith, DET
753792894486675457,none,jarenjacksonjr, MEM
164557288,none,B_Ingram13, LAL
176326208,none,ATolliver44, MIN
222932212,none,kporzee, NYK
331813832,none,DeronWilliams, BRK
364970961,none,BenMcLemore, SAC
326985786,none,alexabrines, OKC
55749605,none,pdpatt, OKC
1110153360,none,JasonSmith014, WAS
4890418741,none,swipathefox, SAC
143203547,none,MookMorris2, BOS
2842841126,none,TheTraeYoung, ATL
16812787,none,DwightHoward, WAS
132752344,none,boogiecousins, GSW
623368248,none,J_A_Smitty, DET
855247687,none,AjincaAlexis42, NOP
25252511,none,ThaboSefolosha, UTA
40571386,none,aronbaynes, BOS
419181069,none,FCHWPO, BOS
92337777,none,patbev21, LAC
79758113,none,tonyparker, CHO
758452400,none,mikemuscala, PHI
205415788,none,swish41, DAL
131971922,none,KyleSingler, OKC
2172852233,none,jisaac_01, ORL
284326648,none,THEwillieCS15, SAC
2410504335,none,DBender03, PHO
179119388,none,RonBaker31, NYK
935323794,none,MarkkanenLauri, CHI
372618047,none,StephensonLance, LAL
1364408940,none,Kyle_OQuinn, IND
607519948,none,wendellcarter34, CHI
54378594,none,eddavisXVII, BRK
1318989560,none,JustHolla7, CHI
1538825629,none,alexlen, ATL
103642293,none,mbahamoute, LAC
150367583,none,mikescott, LAC
2999826306,none,emmanuelmudiay, NYK
723230392787046401,none,KrisDunn3, CHI
772164285388709888,none,FrankLikina, NYK
313441661,none,GRIII, DET
807569185891033088,none,CollinYoungBull, CLE
1323936524,none,iAmSJ, DET
174520063,none,buddyhield, SAC
311623066,none,Dennis1SmithJr, DAL
3184977160,none,KevKnox, NYK
73457606,none,jjbareapr, DAL
2841545944,none,NeneHilario42, HOU
358938695,none,zcollins_33, POR
135026973,none,FSKPart3, CHO
994335752312979463,none,mikal_bridges, PHO
1612394348,none,Teletovic33, MIL
389257384,none,Michael8easley, LAL
3184000707,none,BeMore27, DEN
356408195,none,Jmeeks20, WAS
230278157,none,IAmJustise, MIA
552289108,none,AhmadMonk, CHO
560820176,none,Original_Turner, IND
2873604528,none,shaiglalex, LAC
232901524,none,TreyLyles, DEN
113483838,none,EkpeUdoh, UTA
237073728,none,DevinBook, PHO
1708510310,none,LukeKennard5, DET
96706848,none,campayne, CHI
57698629,none,troydaniels, PHO
273080747,none,KELLYOUBREJR, WAS
276259411,none,MilesBridges, CHO
1039001280,none,quese, PHO
756825420,none,satoransky, WAS
510401871,none,BrynjForbes, SAS
488026266,none,spidadmitchell, UTA
188120286,none,T_Rozzay3, BOS
992286303201869824,none,Rome_Coldbucks1, LAC
3110903289,none,YogiFerrell11, SAC
555653709,none,Bam1of1, MIA
64498695,none,MichaelEPorter, DEN
439779382,none,nicholaf44, POR
979379982,none,JJacks_44, SAC
1002061656,none,ThonMaker14, MIL
39676694,none,sdotcurry, POR
3305641571,none,cediosman, CLE
34722543,none,dekker, CLE
235683143,none,RealTroyBrown80, WAS
253527338,none,elfrid, NOP
2570218520,none,JustinPatton17, MIN
364013199,none,Dsabonis11, IND
269921949,none,JerianGrant, ORL
801929093092671488,none,zhaire_smith, PHI
3225971468,none,delonwright, TOR
1508093396,none,Lanky_Smoove, MIL
797153299287998464,none,dariosaric, PHI
739921296,none,JusAnderson1, ATL
24342206,none,manuginobili, SAS
91225009,none,ReggieBullock35, DET
294380360,none,BPortistime, CHI
546025819,none,IAmCHAP24, BRK
464934594,none,BigMek50, NOP
393722870,none,1Tyus, MIN
3181228674,none,MartinJarell, ORL
363365354,none,unclejeffgreen, WAS
130939593,none,IamAmirJohnson, PHI
904369669,none,RFeltonGBMS, OKC
612792060,none,drose, MIN
24838521,none,JaValeMcGee, LAL
29360150,none,zaza27, DET
308973177,none,JmCalderon, DET
1576253378,none,Dev34Harris, DAL
272116860,none,Channing_Frye, CLE
1470978146,none,lonniewalker_4, SAS
377723724,none,JCrossover, ATL
466241497,none,jcollins20_, ATL
403023272,none,denzelvalentine, CHI
191165672,none,Larrydn22, CLE
551374030,none,KevinHuerter, ATL
262470158,none,HGiiizzle, SAC
37534613,none,DmillerKY, NOP
1628495018,none,juanchohg14, DEN
252238212,none,JonasJerebko, GSW
309810799,none,CallMe_NonStop, MIN
138273884,none,RaulTogni, UTA
